Col	Row	ESRI	RMS
3846	3099	58.8296	10
3847	3099	58.7496	10
3848	3099	58.6696	10
3849	3099	58.5896	10
3850	3099	58.5096	10
3851	3099	58.4296	10
3852	3099	58.3496	10
3853	3099	58.2696	10
3854	3099	58.1896	10
3855	3099	58.1096	10
3856	3099	58.0296	10
3857	3099	57.9496	10
3858	3099	57.8696	10
3859	3099	57.7896	10
3860	3099	57.7096	10
3861	3099	57.6296	10
3862	3099	57.5496	10
3863	3099	57.48412	10
3864	3099	57.42373	10
3865	3099	57.36335	10
3866	3099	57.30296	10
3867	3099	57.24258	10
3868	3099	57.1822	10
3869	3099	57.12181	10
3870	3099	57.06143	10
3871	3099	57.00105	10
3872	3099	56.94066	10
3873	3099	56.88028	10
3874	3099	56.81989	10
3875	3099	56.75951	10
3876	3099	56.69912	10
3877	3099	56.63874	10
3878	3099	56.57836	10
3879	3099	56.51797	10
3880	3099	56.45759	10
3881	3099	56.39721	10
3882	3099	56.33682	10
3883	3099	56.27644	10
3884	3099	56.21605	10
3885	3099	56.15567	10
3886	3099	56.09528	10
3887	3099	56.0349	10
3888	3099	55.97451	10.01452
3889	3099	55.91413	10.03413
3890	3099	55.85375	10.05375
3891	3099	55.79337	10.07336
3892	3099	55.73298	10.09298
3893	3099	55.6726	10.1126
3894	3099	55.61221	10.13221
3895	3099	55.55183	10.15183
3896	3099	55.49144	10.17144
3897	3099	55.43106	10.19106
3898	3099	55.37067	10.21068
3899	3099	55.31029	10.23029
3900	3099	55.24991	10.24991
3901	3099	55.18953	10.26952
3902	3099	55.12914	10.28914
3903	3099	55.06876	10.30876
3904	3099	55.00837	10.32837
3815	3100	62.13414	10
3816	3100	62.0117	10
3817	3100	61.88927	10
3818	3100	61.76684	10
3819	3100	61.64441	10
3820	3100	61.52198	10
3821	3100	61.39954	10
3822	3100	61.27711	10
3823	3100	61.15468	10
3824	3100	61.03225	10
3825	3100	60.90982	10
3826	3100	60.78738	10
3827	3100	60.66495	10
3828	3100	60.54252	10
3829	3100	60.42009	10
3830	3100	60.29766	10
3831	3100	60.17522	10
3832	3100	60.05279	10
3833	3100	59.93036	10
3834	3100	59.80793	10
3835	3100	59.6855	10
3836	3100	59.56306	10
3837	3100	59.44063	10
3838	3100	59.3496	10
3839	3100	59.2696	10
3840	3100	59.1896	10
3841	3100	59.1096	10
3842	3100	59.0296	10
3843	3100	58.9496	10
3844	3100	58.8696	10
3845	3100	58.7896	10
3846	3100	58.7096	10
3847	3100	58.6296	10
3848	3100	58.5496	10
3849	3100	58.4696	10
3850	3100	58.3896	10
3851	3100	58.3096	10
3852	3100	58.2296	10
3853	3100	58.1496	10
3854	3100	58.0696	10
3855	3100	57.9896	10
3856	3100	57.9096	10
3857	3100	57.8296	10
3858	3100	57.7496	10
3859	3100	57.6696	10
3860	3100	57.5896	10
3861	3100	57.5096	10
3862	3100	57.4296	10
3863	3100	57.3653	10
3864	3100	57.30651	10
3865	3100	57.24773	10
3866	3100	57.18895	10
3867	3100	57.13017	10
3868	3100	57.07138	10
3869	3100	57.0126	10
3870	3100	56.95381	10
3871	3100	56.89503	10
3872	3100	56.83624	10
3873	3100	56.77746	10
3874	3100	56.71868	10
3875	3100	56.65989	10
3876	3100	56.60111	10
3877	3100	56.54232	10
3878	3100	56.48354	10
3879	3100	56.42476	10
3880	3100	56.36597	10
3881	3100	56.30719	10
3882	3100	56.24841	10
3883	3100	56.18962	10
3884	3100	56.13084	10
3885	3100	56.07205	10
3886	3100	56.01327	10
3887	3100	55.95448	10
3888	3100	55.8957	10.0157
3889	3100	55.83691	10.03692
3890	3100	55.77813	10.05813
3891	3100	55.71935	10.07935
3892	3100	55.66056	10.10056
3893	3100	55.60178	10.12178
3894	3100	55.543	10.143
3895	3100	55.48421	10.16421
3896	3100	55.42543	10.18543
3897	3100	55.36664	10.20664
3898	3100	55.30786	10.22786
3899	3100	55.24908	10.24908
3900	3100	55.19029	10.27029
3901	3100	55.13151	10.29151
3902	3100	55.07272	10.31272
3903	3100	55.01394	10.33394
3904	3100	54.95515	10.35516
3815	3101	62.08537	10
3816	3101	61.95974	10
3817	3101	61.8341	10
3818	3101	61.70847	10
3819	3101	61.58284	10
3820	3101	61.45721	10
3821	3101	61.33158	10
3822	3101	61.20594	10
3823	3101	61.08031	10
3824	3101	60.95468	10
3825	3101	60.82905	10
3826	3101	60.70341	10
3827	3101	60.57779	10
3828	3101	60.45215	10
3829	3101	60.32652	10
3830	3101	60.20089	10
3831	3101	60.07526	10
3832	3101	59.94962	10
3833	3101	59.82399	10
3834	3101	59.69836	10
