Col,Row,Surface,Thickness,Bed
2678,1879,21,59,-413
2679,1879,22,73,-408
2680,1879,24,86,-404
2681,1879,24,89,-400
2592,1880,-9999,-9999,-302
2593,1880,-9999,-9999,-299
2594,1880,-9999,-9999,-299
2595,1880,-9999,-9999,-299
2596,1880,-9999,-9999,-299
2597,1880,-9999,-9999,-299
2598,1880,-9999,-9999,-300
2599,1880,-9999,-9999,-300
2600,1880,-9999,-9999,-304
2601,1880,-9999,-9999,-311
2602,1880,-9999,-9999,-321
2603,1880,-9999,-9999,-329
2604,1880,-9999,-9999,-337
2605,1880,-9999,-9999,-342
2606,1880,-9999,-9999,-348
2607,1880,-9999,-9999,-354
2608,1880,-9999,-9999,-362
2609,1880,-9999,-9999,-375
2610,1880,-9999,-9999,-389
2611,1880,-9999,-9999,-401
2612,1880,-9999,-9999,-410
2613,1880,-9999,-9999,-415
2614,1880,-9999,-9999,-422
2615,1880,-9999,-9999,-424
2616,1880,-9999,-9999,-426
2617,1880,-9999,-9999,-433
2618,1880,-9999,-9999,-439
2619,1880,-9999,-9999,-444
2620,1880,-9999,-9999,-451
2621,1880,-9999,-9999,-460
2622,1880,-9999,-9999,-470
2623,1880,-9999,-9999,-474
2624,1880,-9999,-9999,-476
2625,1880,-9999,-9999,-482
2626,1880,-9999,-9999,-488
2627,1880,-9999,-9999,-493
2628,1880,-9999,-9999,-499
2629,1880,-9999,-9999,-504
2630,1880,-9999,-9999,-509
2631,1880,-9999,-9999,-515
2632,1880,-9999,-9999,-520
2633,1880,-9999,-9999,-525
2634,1880,-9999,-9999,-530
2635,1880,-9999,-9999,-535
2636,1880,-9999,-9999,-539
2637,1880,-9999,-9999,-543
2638,1880,15,70,-547
2639,1880,17,86,-550
2640,1880,21,106,-552
2641,1880,24,129,-553
2642,1880,27,154,-553
2643,1880,29,169,-554
2644,1880,30,172,-553
2645,1880,29,166,-552
2646,1880,28,155,-550
2647,1880,26,133,-549
2648,1880,23,107,-546
2649,1880,21,87,-544
2650,1880,21,78,-540
2651,1880,22,88,-537
2652,1880,23,101,-533
2653,1880,25,111,-527
2654,1880,25,114,-523
2655,1880,25,113,-518
2656,1880,25,114,-514
2657,1880,26,118,-509
2658,1880,26,119,-505
2659,1880,26,115,-501
2660,1880,25,110,-495
2661,1880,25,105,-489
2662,1880,24,101,-484
2663,1880,24,100,-479
2664,1880,24,100,-474
2665,1880,24,100,-470
2666,1880,24,96,-466
2667,1880,24,89,-461
2668,1880,23,83,-456
2669,1880,22,78,-451
2670,1880,21,69,-446
2671,1880,21,62,-441
2672,1880,21,61,-437
2673,1880,20,58,-433
2674,1880,20,54,-429
2675,1880,20,54,-424
2676,1880,20,54,-419
2677,1880,20,54,-414
2678,1880,20,59,-409
2679,1880,22,71,-404
2680,1880,23,82,-400
2681,1880,23,82,-396
2592,1881,-9999,-9999,-302
2593,1881,-9999,-9999,-300
2594,1881,-9999,-9999,-300
2595,1881,-9999,-9999,-300
2596,1881,-9999,-9999,-300
2597,1881,-9999,-9999,-300
2598,1881,-9999,-9999,-300
2599,1881,-9999,-9999,-301
2600,1881,-9999,-9999,-304
2601,1881,-9999,-9999,-310
2602,1881,-9999,-9999,-321
2603,1881,-9999,-9999,-329
2604,1881,-9999,-9999,-336
2605,1881,-9999,-9999,-343
2606,1881,-9999,-9999,-348
2607,1881,-9999,-9999,-355
2608,1881,-9999,-9999,-363
2609,1881,-9999,-9999,-375
2610,1881,-9999,-9999,-390
2611,1881,-9999,-9999,-401
2612,1881,-9999,-9999,-410
2613,1881,-9999,-9999,-416
2614,1881,-9999,-9999,-424
2615,1881,-9999,-9999,-427
2616,1881,-9999,-9999,-428
2617,1881,-9999,-9999,-436
2618,1881,-9999,-9999,-444
2619,1881,-9999,-9999,-447
2620,1881,-9999,-9999,-457
2621,1881,-9999,-9999,-464
2622,1881,-9999,-9999,-475
2623,1881,-9999,-9999,-478
2624,1881,-9999,-9999,-479
2625,1881,-9999,-9999,-485
2626,1881,-9999,-9999,-491
2627,1881,-9999,-9999,-497
2628,1881,-9999,-9999,-503
2629,1881,-9999,-9999,-508
2630,1881,-9999,-9999,-513
2631,1881,-9999,-9999,-519
2632,1881,-9999,-9999,-524
2633,1881,-9999,-9999,-529
2634,1881,-9999,-9999,-534
2635,1881,-9999,-9999,-539
2636,1881,-9999,-9999,-543
2637,1881,12,55,-548
2638,1881,15,71,-551
2639,1881,18,90,-553
2640,1881,21,112,-555
2641,1881,25,137,-555
2642,1881,29,165,-556
2643,1881,31,185,-556
2644,1881,31,185,-556
2645,1881,30,173,-553
2646,1881,28,152,-552
2647,1881,25,125,-549
2648,1881,23,99,-547
2649,1881,21,81,-543
2650,1881,21,81,-540
2651,1881,22,93,-537
2652,1881,24,107,-533
2653,1881,25,117,-527
2654,1881,26,119,-523
2655,1881,26,123,-518
2656,1881,27,128,-514
2657,1881,27,132,-509
2658,1881,27,132,-504
2659,1881,27,127,-500
2660,1881,26,120,-494
2661,1881,26,114,-488
2662,1881,25,109,-483
2663,1881,25,106,-478
2664,1881,25,104,-473
2665,1881,24,100,-469
