Col,Row,Surface,Thickness,Bed
2665,1956,288,387,-99
2652,1946,23,116,-277
2595,1969,25,-9999,-450
2640,1970,20,-9999,-421
2674,1962,580,652,-72
2678,1954,560,645,-85
2621,1917,27,146,-329
2649,1924,26,130,-336
2592,1945,24,-9999,-300
2609,1885,16,-9999,-393
2596,1905,21,-9999,-315
2657,1893,28,138,-495
2599,1918,23,-9999,-292
2600,1960,25,-9999,-450
2661,1877,24,93,-496
2598,1948,24,-9999,-299
2609,1966,25,-9999,-444
2613,1966,26,-9999,-446
2601,1902,22,-9999,-300
2618,1876,11,-9999,-418
2604,1895,16,-9999,-347
2653,1910,23,90,-413
2630,1943,27,130,-336
2658,1964,122,433,-311
2605,1951,25,-9999,-330
2639,1903,26,140,-473
2610,1911,22,-9999,-273
2675,1895,26,117,-385
2618,1974,26,-9999,-417
2662,1919,32,179,-333
2679,1975,739,930,-191
2622,1942,27,99,-330
2593,1960,25,-9999,-448
2672,1967,558,697,-139
2631,1884,13,-9999,-531
2676,1967,631,787,-156
2681,1879,24,89,-400
2639,1933,30,168,-322
2667,1892,28,129,-439
2614,1969,26,-9999,-438
2636,1925,31,173,-332
2623,1965,27,-9999,-430
2611,1965,25,-9999,-449
2631,1922,28,149,-333
2619,1882,16,-9999,-453
2606,1904,22,-9999,-318
2641,1962,20,-9999,-358
2628,1924,27,142,-325
2606,1960,25,-9999,-450
2603,1946,25,-9999,-312
2636,1899,27,150,-506
2624,1891,16,-9999,-508
2645,1939,33,200,-311
2616,1971,26,-9999,-429
2620,1931,26,150,-316
2671,1891,27,123,-420
2641,1876,16,68,-540
2646,1875,20,78,-544
2617,1915,22,-9999,-319
2650,1962,21,108,-318
2620,1914,24,-9999,-335
2637,1972,20,-9999,-412
2608,1874,16,-9999,-365
2659,1976,314,408,-94
2663,1888,28,136,-472
2634,1930,27,137,-323
2651,1912,24,103,-403
2650,1885,25,125,-541
2638,1874,13,-9999,-524
2654,1917,32,174,-367
2626,1898,16,-9999,-480
2642,1949,23,115,-331
2629,1909,23,113,-389
2664,1937,25,180,-250
2655,1953,19,94,-253
2626,1949,27,-9999,-347
2647,1905,25,117,-458
2643,1942,30,178,-318
2665,1894,28,133,-446
2652,1880,23,101,-533
2640,1904,26,137,-467
2673,1927,30,166,-271
2660,1967,258,504,-246
2648,1967,20,-9999,-367
2635,1975,20,-9999,-407
2657,1959,22,259,-267
2661,1943,23,158,-234
2665,1920,31,173,-317
2607,1901,22,-9999,-349
2669,1976,533,790,-257
2595,1965,25,-9999,-450
2640,1950,24,93,-341
2599,1933,22,-9999,-305
2678,1934,34,279,-257
2621,1921,30,178,-322
2592,1957,25,-9999,-379
2609,1913,22,-9999,-274
2653,1976,74,278,-204
2596,1941,24,-9999,-301
2599,1890,16,-9999,-298
2600,1924,23,-9999,-296
2604,1972,25,-9999,-408
2613,1922,22,101,-311
2630,1888,17,-9999,-536
2618,1896,16,-9999,-476
2605,1906,22,-9999,-300
2593,1898,20,-9999,-329
2666,1888,28,130,-454
2653,1882,26,119,-528
2670,1896,28,131,-409
2658,1968,184,488,-304
2662,1928,32,180,-294
2605,1923,23,-9999,-296
2672,1916,18,62,-311
2614,1907,22,-9999,-338
2679,1947,456,550,-94
2622,1970,24,-9999,-450
2667,1971,470,791,-321
2593,1972,25,-9999,-441
2597,1924,23,-9999,-302
2676,1923,27,125,-267
2619,1944,27,63,-331
2681,1907,15,59,-302
2594,1930,22,-9999,-312
2627,1961,26,-9999,-349
2614,1949,26,-9999,-341
2636,1961,22,-9999,-351
2624,1953,27,-9999,-349
2606,1975,25,-9999,-399
2611,1929,29,185,-313
2619,1894,15,-9999,-489
2623,1878,11,-9999,-458
2641,1942,30,177,-322
2594,1900,20,-9999,-324
2603,1926,23,-9999,-301
2645,1975,57,-9999,-547
2615,1911,22,-9999,-316
2633,1943,29,180,-335
2620,1967,27,-9999,-450
2671,1927,30,164,-277
2646,1919,33,203,-362
2673,1944,216,372,-156
2617,1943,26,89,-327
2634,1887,17,80,-557
2633,1888,17,80,-555
2650,1934,35,212,-303
2637,1880,15,-9999,-543
2608,1918,20,-9999,-287
2625,1968,24,-9999,-417
2612,1950,26,-9999,-345
2663,1924,25,114,-306
2664,1918,27,136,-332
2634,1966,20,-9999,-350
2638,1966,20,-9999,-365
2655,1908,22,78,-423
2654,1881,26,119,-523
2643,1876,18,75,-543
2642,1921,33,201,-350
2629,1897,15,-9999,-500
2664,1933,35,213,-270
2668,1965,463,596,-133
2655,1925,24,108,-321
2598,1920,23,-9999,-294
2660,1901,25,108,-442
2648,1901,24,111,-487
2635,1909,27,147,-409
2656,1948,25,125,-246
2643,1970,20,-9999,-448
2647,1930,34,199,-320
2669,1914,19,55,-332
2640,1884,23,113,-563
2598,1890,16,-9999,-299
2677,1963,634,734,-100
2648,1931,36,216,-316
2607,1936,24,170,-311
2605,1957,25,-9999,-434
2661,1931,37,225,-285
2592,1874,16,-9999,-321
2669,1948,200,368,-168
2599,1969,25,-9999,-450
2644,1874,16,53,-542
2621,1957,27,-9999,-377
2666,1954,281,385,-104
2609,1893,15,-9999,-410
2653,1948,24,125,-268
2604,1964,25,-9999,-450
2596,1929,22,-9999,-308
2613,1909,22,-9999,-302
2600,1888,16,-9999,-302
2661,1901,27,121,-437
2604,1944,25,-9999,-314
2649,1901,24,110,-485
2670,1941,28,258,-232
2601,1958,25,-9999,-437
2605,1878,16,-9999,-346
2593,1910,20,-9999,-334
2658,1876,23,91,-514
2675,1966,615,755,-140
2662,1972,361,647,-286
2627,1895,15,-9999,-507
2672,1944,180,357,-177
2614,1887,16,-9999,-441
2676,1904,18,44,-342
2602,1919,20,-9999,-283
2675,1887,25,101,-407
2679,1919,16,62,-263
2622,1966,27,-9999,-449
2667,1951,222,383,-161
2610,1934,27,182,-312
2597,1976,25,-9999,-400
2632,1950,26,-9999,-353
2619,1956,26,-9999,-371
2623,1940,28,138,-328
2594,1966,25,-9999,-450
2627,1925,27,141,-323
2631,1973,20,-9999,-375
2602,1937,23,-9999,-310
2680,1877,26,109,-411
2624,1933,28,157,-320
2615,1973,26,-9999,-415
2632,1916,25,131,-356
2636,1884,14,61,-555
2594,1904,20,-9999,-330
2628,1891,16,-9999,-525
2615,1883,16,-9999,-433
2616,1899,16,-9999,-449
2633,1971,20,-9999,-351
2603,1907,22,-9999,-298
2620,1971,24,-9999,-449
2671,1947,249,392,-143
2608,1931,26,168,-312
2659,1891,30,152,-489
2646,1947,26,144,-310
2663,1883,26,116,-475
2617,1971,26,-9999,-432
2634,1907,25,131,-421
2650,1890,28,147,-536
2637,1916,27,144,-367
2654,1962,20,259,-300
2605,1952,25,-9999,-337
2625,1948,27,-9999,-345
2612,1906,22,-9999,-345
2663,1960,266,418,-152
2664,1882,25,108,-472
2651,1952,23,124,-285
2638,1930,27,140,-324
2655,1896,25,108,-493
2656,1882,28,139,-513
2626,1874,11,-9999,-448
2643,1904,26,132,-471
2642,1893,30,174,-553
2668,1937,26,192,-245
2673,1901,23,85,-371
2677,1901,22,75,-349
2656,1976,189,352,-163
2660,1936,28,151,-267
2647,1966,20,-9999,-370
2669,1886,25,103,-440
2644,1936,33,196,-314
2677,1935,34,288,-268
2607,1972,25,-9999,-409
2652,1975,57,262,-205
2595,1940,24,-9999,-301
2674,1927,30,163,-267
2661,1967,304,522,-218
2621,1880,13,-9999,-460
2649,1967,20,-9999,-350
2592,1918,23,-9999,-338
2596,1886,16,-9999,-300
2669,1920,30,170,-306
2595,1893,22,-9999,-300
2657,1880,26,118,-509
2599,1877,16,-9999,-298
2644,1910,26,127,-420
2666,1926,28,146,-293
2609,1921,20,-9999,-298
2596,1965,25,-9999,-450
2601,1905,22,-9999,-300
2674,1897,26,116,-383
2600,1884,16,-9999,-307
2678,1889,26,111,-386
2604,1916,20,-9999,-276
2670,1969,518,740,-222
2630,1960,24,-9999,-350
2658,1929,33,193,-300
2601,1922,23,-9999,-291
2680,1925,22,103,-239
2622,1896,16,-9999,-488
2597,1914,20,-9999,-297
2658,1912,21,77,-389
2675,1930,33,186,-259
2618,1939,27,163,-322
2598,1955,25,-9999,-346
2593,1923,23,-9999,-327
2672,1924,33,181,-283
2631,1915,26,135,-358
2676,1876,20,52,-431
2602,1875,16,-9999,-347
2639,1960,22,-9999,-352
2667,1915,20,62,-336
2610,1970,25,-9999,-425
2614,1962,26,-9999,-450
2623,1928,27,140,-319
2594,1970,25,-9999,-449
2631,1945,27,136,-339
2606,1877,16,-9999,-354
2628,1953,27,-9999,-350
2615,1945,26,47,-330
2603,1969,25,-9999,-438
2623,1902,17,-9999,-436
2611,1902,22,-9999,-384
2616,1944,26,60,-329
2641,1903,27,142,-478
2645,1903,25,119,-480
2617,1886,16,-9999,-455
2633,1967,20,-9999,-349
2603,1887,16,-9999,-354
2620,1879,13,-9999,-444
2637,1935,30,167,-322
2608,1975,25,-9999,-399
2659,1951,26,173,-212
2612,1959,26,-9999,-444
2646,1959,20,93,-333
2663,1919,31,172,-329
2634,1943,30,191,-334
2638,1911,27,148,-403
2637,1888,24,124,-566
2654,1926,26,121,-319
2625,1912,24,122,-359
2642,1974,21,-9999,-533
2612,1878,16,-9999,-407
2629,1936,26,137,-324
2664,1974,420,677,-257
2651,1932,37,226,-307
2668,1894,27,124,-428
2656,1894,27,132,-496
2626,1974,20,-9999,-399
2660,1878,23,96,-499
2647,1900,25,122,-496
2673,1942,132,317,-185
2652,1909,24,100,-424
2598,1883,16,-9999,-300
2660,1972,307,558,-251
2647,1970,20,-9999,-433
2673,1961,555,608,-53
2635,1930,27,137,-324
2657,1946,28,137,-245
2644,1972,20,-9999,-499
2665,1963,381,522,-141
2652,1947,24,125,-276
2595,1968,25,-9999,-450
2640,1971,20,-9999,-437
2674,1963,586,668,-82
2678,1955,573,663,-90
2621,1916,25,133,-332
2649,1931,36,215,-314
2592,1946,24,-9999,-300
2609,1884,16,-9999,-384
2596,1906,20,-9999,-315
2657,1892,29,141,-499
2599,1913,20,-9999,-293
2600,1961,25,-9999,-450
2661,1876,24,97,-500
2609,1965,25,-9999,-449
2613,1965,26,-9999,-449
2601,1901,22,-9999,-300
2618,1877,13,-9999,-423
2604,1888,16,-9999,-370
2653,1909,23,93,-421
2630,1940,26,136,-329
2658,1965,140,453,-313
2605,1950,25,-9999,-325
2639,1902,27,149,-480
2610,1908,22,-9999,-292
2675,1894,26,117,-389
2618,1975,24,-9999,-412
2662,1916,24,103,-350
2679,1974,733,934,-201
2622,1943,27,73,-332
2593,1967,25,-9999,-450
2672,1952,410,503,-93
2631,1887,15,-9999,-540
2676,1960,603,670,-67
2681,1878,26,101,-403
2639,1932,29,159,-323
2667,1895,28,129,-431
2614,1974,26,-9999,-406
2636,1926,30,162,-329
2623,1964,27,-9999,-419
2611,1964,25,-9999,-450
2619,1885,16,-9999,-476
2606,1905,22,-9999,-314
2641,1961,21,-9999,-354
2628,1925,27,145,-324
2603,1949,25,-9999,-311
2636,1892,25,128,-554
2624,1892,16,-9999,-507
2645,1938,34,204,-311
2616,1972,26,-9999,-424
2620,1924,27,141,-318
2671,1890,27,121,-423
2617,1914,22,-9999,-321
2650,1963,21,113,-321
2620,1915,24,-9999,-332
2637,1971,20,-9999,-401
2608,1875,16,-9999,-366
2625,1963,26,-9999,-377
2663,1891,30,147,-466
2634,1931,26,132,-323
2651,1915,28,142,-384
2650,1882,22,89,-541
2638,1875,13,-9999,-528
2654,1890,28,137,-517
2626,1899,16,-9999,-471
2642,1946,26,143,-326
2629,1908,22,97,-395
2664,1938,21,178,-245
2655,1952,20,98,-252
2626,1946,27,66,-342
2647,1904,25,116,-467
2643,1945,28,156,-321
2665,1893,28,131,-450
2652,1881,24,107,-533
2640,1905,26,136,-457
2673,1926,30,161,-273
2660,1960,125,366,-241
2648,1968,20,-9999,-378
2635,1974,20,-9999,-400
2657,1958,21,227,-255
2661,1942,23,158,-237
2665,1927,29,157,-291
2607,1900,22,-9999,-356
2669,1975,525,793,-268
2595,1964,25,-9999,-450
2640,1951,24,98,-342
2599,1932,22,-9999,-305
2678,1935,38,299,-267
2621,1920,29,165,-323
2680,1971,721,932,-211
2592,1958,25,-9999,-409
2609,1912,22,-9999,-270
2653,1975,80,283,-203
2596,1942,24,-9999,-301
2674,1886,24,93,-413
2600,1925,23,-9999,-299
2604,1973,25,-9999,-400
2613,1921,21,91,-309
2630,1889,17,-9999,-537
2618,1897,16,-9999,-474
2605,1905,22,-9999,-302
2593,1897,22,-9999,-324
2666,1889,28,135,-452
2653,1881,25,117,-527
2670,1897,27,127,-405
2658,1969,197,495,-298
2662,1929,35,209,-290
2605,1922,23,-9999,-293
2672,1917,19,76,-307
2614,1904,23,-9999,-388
2679,1946,430,535,-105
2622,1971,24,-9999,-449
2667,1970,466,771,-305
2597,1923,23,-9999,-301
2676,1932,34,211,-256
2619,1947,27,-9999,-339
2681,1906,16,60,-307
2594,1931,22,-9999,-309
2627,1960,26,-9999,-350
2614,1938,25,161,-317
2636,1962,22,-9999,-351
2624,1954,27,-9999,-350
2611,1928,29,183,-313
2619,1913,24,-9999,-334
2605,1884,16,-9999,-352
2641,1941,31,181,-321
2594,1901,21,-9999,-327
2645,1974,59,-9999,-539
2615,1910,22,-9999,-320
2633,1942,29,187,-333
2620,1960,27,-9999,-409
2671,1926,30,152,-280
2605,1975,25,-9999,-399
2646,1916,29,159,-378
2617,1942,26,119,-326
2634,1884,12,50,-546
2633,1895,19,75,-532
2650,1935,34,204,-302
2637,1879,14,-9999,-539
2608,1919,20,-9999,-290
2625,1975,20,-9999,-402
2612,1951,26,-9999,-349
2663,1927,29,153,-295
2664,1919,30,163,-326
2634,1967,20,-9999,-349
2638,1967,20,-9999,-371
2655,1911,22,81,-402
2654,1886,28,145,-523
2643,1879,26,144,-552
2642,1918,31,180,-364
2629,1896,16,-9999,-509
2664,1934,33,201,-265
2668,1966,469,623,-154
2655,1924,24,101,-326
2598,1921,23,-9999,-294
2660,1902,24,98,-437
2648,1902,24,111,-481
2635,1908,26,137,-416
2656,1949,24,121,-244
2643,1973,21,-9999,-525
2647,1925,26,131,-333
2669,1913,19,53,-337
2640,1885,24,117,-563
2598,1891,16,-9999,-299
2677,1962,630,719,-89
2648,1932,37,227,-313
2607,1939,24,137,-313
2652,1964,21,205,-305
2661,1930,36,216,-289
2592,1875,16,-9999,-319
2669,1947,168,347,-179
2599,1968,25,-9999,-450
2644,1875,17,62,-543
2621,1956,27,-9999,-369
2666,1955,307,394,-87
2609,1892,16,-9999,-411
2653,1947,23,120,-269
2596,1930,22,-9999,-307
2613,1908,22,-9999,-310
2600,1889,16,-9999,-300
2661,1900,28,131,-442
2604,1945,25,-9999,-314
2649,1900,24,111,-492
2670,1946,176,359,-183
2601,1957,25,-9999,-418
2680,1898,23,88,-345
2598,1976,25,-9999,-400
2593,1909,20,-9999,-334
2658,1877,23,95,-512
2675,1969,607,836,-229
